reservorio,anio,mes,volumen_000m3,periodo
AB,1968.0,01,,196801
AB,1969.0,01,,196901
AB,1970.0,01,,197001
AB,1971.0,01,,197101
AB,1972.0,01,27060.0,197201
AB,1973.0,01,29380.0,197301
AB,1974.0,01,18886.0,197401
AB,1975.0,01,13156.0,197501
AB,1976.0,01,42890.0,197601
AB,1977.0,01,7402.0,197701
AB,1978.0,01,32100.0,197801
AB,1979.0,01,13144.0,197901
AB,1980.0,01,5062.0,198001
AB,1981.0,01,13504.0,198101
AB,1982.0,01,17600.0,198201
AB,1983.0,01,5415.0,198301
AB,1984.0,01,26500.0,198401
AB,1985.0,01,6613.0,198501
AB,1986.0,01,43210.0,198601
AB,1987.0,01,44575.0,198701
AB,1988.0,01,39800.0,198801
AB,1989.0,01,9596.0,198901
AB,1990.0,01,8980.0,199001
AB,1991.0,01,31340.0,199101
AB,1992.0,01,6233.0,199201
AB,1993.0,01,40440.0,199301
AB,1994.0,01,37850.0,199401
AB,1995.0,01,17728.0,199501
AB,1996.0,01,17200.0,199601
AB,1997.0,01,25940.0,199701
AB,1998.0,01,29240.0,199801
AB,1999.0,01,16400.0,199901
AB,2000.0,01,35240.0,200001
AB,2001.0,01,41550.0,200101
AB,2002.0,01,21130.0,200201
AB,2003.0,01,23740.0,200301
AB,2004.0,01,17671.561,200401
AB,2005.0,01,10136.551,200501
AB,2006.0,01,31710.912,200601
AB,2007.0,01,17979.542,200701
AB,2008.0,01,16531.698,200801
AB,2009.0,01,14673.133,200901
AB,2010.0,01,11224.749,201001
AB,2011.0,01,15000.979,201101
AB,2012.0,01,15716.297,201201
AB,2013.0,01,30111.732,201301
AB,2014.0,01,11615.409,201401
AB,2015.0,01,10712.471,201501
AB,2016.0,01,10712.471,201601
AB,2017.0,01,20441.388,201701
AB,2018.0,01,25508.554,201801
AB,2019.0,01,16086.838,201901
AB,2020.0,01,22690.649,202001
AB,2021.0,01,20772.856,202101
AB,2022.0,01,22224.358,202201
AB,2023.0,01,24997.947,202301
AB,2024.0,01,15309.437,202401
AB,2025.0,01,15086.73,202501
AB,1968.0,02,,196802
AB,1969.0,02,,196902
AB,1970.0,02,,197002
AB,1971.0,02,,197102
AB,1972.0,02,44235.0,197202
AB,1973.0,02,46920.0,197302
AB,1974.0,02,36575.0,197402
AB,1975.0,02,44350.0,197502
AB,1976.0,02,40350.0,197602
AB,1977.0,02,39160.0,197702
AB,1978.0,02,32460.0,197802
AB,1979.0,02,11880.0,197902
AB,1980.0,02,4761.0,198002
AB,1981.0,02,43750.0,198102
AB,1982.0,02,6827.0,198202
AB,1983.0,02,6217.0,198302
AB,1984.0,02,43725.0,198402
AB,1985.0,02,43420.0,198502
AB,1986.0,02,44640.0,198602
AB,1987.0,02,33620.0,198702
AB,1988.0,02,38920.0,198802
AB,1989.0,02,25380.0,198902
AB,1990.0,02,6360.0,199002
AB,1991.0,02,33180.0,199102
AB,1992.0,02,9150.0,199202
AB,1993.0,02,28180.0,199302
AB,1994.0,02,41160.0,199402
AB,1995.0,02,13876.0,199502
AB,1996.0,02,44075.0,199602
AB,1997.0,02,43975.0,199702
AB,1998.0,02,32700.0,199802
AB,1999.0,02,44100.0,199902
AB,2000.0,02,44100.0,200002
AB,2001.0,02,45125.0,200102
AB,2002.0,02,43330.0,200202
AB,2003.0,02,32180.0,200302
AB,2004.0,02,19945.612,200402
AB,2005.0,02,29969.575,200502
AB,2006.0,02,23898.001,200602
AB,2007.0,02,18970.832,200702
AB,2008.0,02,23635.6,200802
AB,2009.0,02,20054.613,200902
AB,2010.0,02,23284.458,201002
AB,2011.0,02,31288.239,201102
AB,2012.0,02,30111.732,201202
AB,2013.0,02,29928.81,201302
AB,2014.0,02,7887.623,201402
AB,2015.0,02,19120.741,201502
AB,2016.0,02,28191.865,201602
AB,2017.0,02,19805.053,201702
AB,2018.0,02,15857.123,201802
AB,2019.0,02,26934.228,201902
AB,2020.0,02,17506.907,202002
AB,2021.0,02,22406.329,202102
AB,2022.0,02,24765.284,202202
AB,2023.0,02,19271.969,202302
AB,2024.0,02,13650.829,202402
AB,2025.0,02,17328.906,202502
AB,1968.0,03,,196803
AB,1969.0,03,,196903
AB,1970.0,03,,197003
AB,1971.0,03,,197103
AB,1972.0,03,42425.0,197203
AB,1973.0,03,45775.0,197303
AB,1974.0,03,42225.0,197403
AB,1975.0,03,42160.0,197503
AB,1976.0,03,43600.0,197603
AB,1977.0,03,43725.0,197703
AB,1978.0,03,23100.0,197803
AB,1979.0,03,32740.0,197903
AB,1980.0,03,13228.0,198003
AB,1981.0,03,35160.0,198103
AB,1982.0,03,12504.0,198203
AB,1983.0,03,4420.0,198303
AB,1984.0,03,45175.0,198403
AB,1985.0,03,43860.0,198503
AB,1986.0,03,43875.0,198603
AB,1987.0,03,15504.0,198703
AB,1988.0,03,43180.0,198803
AB,1989.0,03,33580.0,198903
AB,1990.0,03,9780.0,199003
AB,1991.0,03,43030.0,199103
AB,1992.0,03,11756.0,199203
AB,1993.0,03,40050.0,199303
AB,1994.0,03,36080.0,199403
AB,1995.0,03,40500.0,199503
AB,1996.0,03,39450.0,199603
AB,1997.0,03,28440.0,199703
AB,1998.0,03,18954.0,199803
AB,1999.0,03,44200.0,199903
AB,2000.0,03,42865.0,200003
AB,2001.0,03,43750.0,200103
AB,2002.0,03,43300.0,200203
AB,2003.0,03,42340.0,200303
AB,2004.0,03,13833.197,200403
AB,2005.0,03,27676.389,200503
AB,2006.0,03,32479.086,200603
AB,2007.0,03,24248.879,200703
AB,2008.0,03,13656.865,200803
AB,2009.0,03,15646.037,200903
AB,2010.0,03,17125.333,201003
AB,2011.0,03,30594.087,201103
AB,2012.0,03,28908.507,201203
AB,2013.0,03,23987.297,201303
AB,2014.0,03,12821.236,201403
AB,2015.0,03,26455.385,201503
AB,2016.0,03,8499.636,201603
AB,2017.0,03,26368.715,201703
AB,2018.0,03,30111.732,201803
AB,2019.0,03,29769.134,201903
AB,2020.0,03,31917.972,202003
AB,2021.0,03,30801.719,202103
AB,2022.0,03,18502.006,202203
AB,2023.0,03,26607.347,202303
AB,2024.0,03,22785.976,202403
AB,2025.0,03,22740.397,202503
AB,1968.0,04,,196804
AB,1969.0,04,,196904
AB,1970.0,04,,197004
AB,1971.0,04,,197104
AB,1972.0,04,44400.0,197204
AB,1973.0,04,43090.0,197304
AB,1974.0,04,36625.0,197404
AB,1975.0,04,21420.0,197504
AB,1976.0,04,34800.0,197604
AB,1977.0,04,32820.0,197704
AB,1978.0,04,20920.0,197804
AB,1979.0,04,23780.0,197904
AB,1980.0,04,9170.0,198004
AB,1981.0,04,37320.0,198104
AB,1982.0,04,11084.0,198204
AB,1983.0,04,7478.0,198304
AB,1984.0,04,37000.0,198404
AB,1985.0,04,43210.0,198504
AB,1986.0,04,40900.0,198604
AB,1987.0,04,16400.0,198704
AB,1988.0,04,40860.0,198804
AB,1989.0,04,38060.0,198904
AB,1990.0,04,8860.0,199004
AB,1991.0,04,27680.0,199104
AB,1992.0,04,10350.0,199204
AB,1993.0,04,32760.0,199304
AB,1994.0,04,29860.0,199404
AB,1995.0,04,29160.0,199504
AB,1996.0,04,39250.0,199604
AB,1997.0,04,21880.0,199704
AB,1998.0,04,21340.0,199804
AB,1999.0,04,37220.0,199904
AB,2000.0,04,34220.0,200004
AB,2001.0,04,39475.0,200104
AB,2002.0,04,42640.0,200204
AB,2003.0,04,35960.0,200304
AB,2004.0,04,17671.561,200404
AB,2005.0,04,24186.795,200504
AB,2006.0,04,28690.811,200604
AB,2007.0,04,19718.86,200704
AB,2008.0,04,16764.481,200804
AB,2009.0,04,19996.895,200904
AB,2010.0,04,10669.306,201004
AB,2011.0,04,28526.873,201104
AB,2012.0,04,30043.082,201204
AB,2013.0,04,15963.011,201304
AB,2014.0,04,22915.115,201404
AB,2015.0,04,15505.824,201504
AB,2016.0,04,15104.989,201604
AB,2017.0,04,20363.758,201704
AB,2018.0,04,22976.497,201804
AB,2019.0,04,27350.717,201904
AB,2020.0,04,16818.608,202004
AB,2021.0,04,25786.838,202104
AB,2022.0,04,22690.649,202204
AB,2023.0,04,21572.603,202304
AB,2024.0,04,18309.01,202404
AB,2025.0,04,18924.955,202504
AB,1968.0,05,,196805
AB,1969.0,05,,196905
AB,1970.0,05,,197005
AB,1971.0,05,,197105
AB,1972.0,05,33560.0,197205
AB,1973.0,05,41575.0,197305
